wikipedia_movie_ID,name,original_genres,predicted_genres
26187835,deep waters,['Drama'],['Drama']
8323828,beyond the door,"['Horror', 'Supernatural/Monster']","['Drama', 'Romance']"
29004017,fjorton suger,"['Drama', 'Romance']","['Drama', 'Indie']"
76617,vertigo,"['Adaptation', 'Crime', 'Drama', 'Mystery/Suspense', 'Romance', 'Thriller']","['Action/Adventure', 'Comedy', 'Drama', 'Unconventional']"
32873419,goodbye first love,"['Drama', 'Romance']","['Crime', 'Drama', 'Thriller']"
5735396,invasion of the body snatchers,"['Adaptation', 'Disaster/Dystopia', 'Science Fiction', 'Thriller', 'Unconventional']",['Comedy']
31386708,the theatre bizarre,"['Crime', 'Horror', 'Thriller', 'Unconventional']","['Asian Movies', ""Children's/Family"", 'Comedy', 'Horror', 'Music/Dance', 'Supernatural/Monster', 'World cinema']"
5157844,checking out,['Comedy'],"['Asian Movies', 'Crime', 'Music/Dance', 'Thriller', 'World cinema']"
10026936,take the high ground!,"['Comedy', 'War/combat']","['Action/Adventure', 'Drama']"
22833618,to die like a man,"['Drama', 'Fantasy', 'Music/Dance', 'Non-fiction/Educational', 'World cinema']",['Thriller']
5974081,deepavali,"['Asian Movies', 'Romance']","['Asian Movies', 'Drama', 'Music/Dance', 'Romance', 'World cinema']"
28703057,the corbett-fitzsimmons fight,['Sports'],"['Drama', 'Non-fiction/Educational', 'Old-fashioned/classical style', 'Short Film']"
24383650,the blue mansion,['Comedy'],['Drama']
619728,tangled,"['Animation', ""Children's/Family"", 'Comedy', 'Fantasy', 'Music/Dance', 'Romance']","['Action/Adventure', 'Animation', ""Children's/Family"", 'Comedy']"
31317798,skinner's dress suit,['Comedy'],"['Fantasy', 'Old-fashioned/classical style', 'Romance']"
29758162,desert gold,"['Action/Adventure', 'Western']",['Western']
23751392,ee pattanathil bhootham,['Fantasy'],"['Action/Adventure', 'Crime', 'Thriller']"
20700559,miracle on 34th street,"[""Children's/Family"", 'Drama', 'Fantasy']","['Crime', 'Drama', 'Historical', 'Mystery/Suspense', 'Romance', 'Thriller']"
28803197,the legend of action man,"['Comedy', 'Mystery/Suspense']","['Action/Adventure', 'Drama']"
26017039,toss-up,['Drama'],"['Drama', 'Romance']"
36127934,maleficent,['Fantasy'],"['Action/Adventure', 'Adaptation', 'Drama', 'Science Fiction', 'Thriller']"
7267287,changing husbands,"['Comedy', 'Old-fashioned/classical style']",['Old-fashioned/classical style']
1705391,naked,"['Comedy', 'Drama']","['Comedy', 'Drama', 'Friendships, Family & Personal Relationships', 'Other']"
24162487,the gamblers,['Drama'],['Comedy']
12243701,d,"['Crime', 'Drama', 'Thriller', 'World cinema']",['Comedy']
5584803,sweetie,"['Comedy', 'Drama', 'Indie', 'World cinema']","['Crime', 'Drama', 'Mystery/Suspense', 'Thriller']"
31803599,the angel with the trumpet,['Drama'],"['Crime', 'Drama']"
36105729,the frozen child,"['Drama', 'Old-fashioned/classical style', 'Short Film']",['Old-fashioned/classical style']
12715927,song of the exile,"['Asian Movies', 'Drama']",['Drama']
5083033,never a dull moment,"['Action/Adventure', ""Children's/Family"", 'Comedy', 'Crime', 'Drama', 'Mystery/Suspense']",[]
17285896,intimate strangers,"['Adult', 'Drama', 'Romance', 'Thriller', 'World cinema']",['Drama']
479457,eraser,"['Action/Adventure', 'Thriller']","['Action/Adventure', 'Comedy', 'Crime', 'Thriller']"
12447521,all aboard! rosie's family cruise,"['Culture & Society', 'Friendships, Family & Personal Relationships', 'LGBT', 'Non-fiction/Educational']","['Horror', 'Indie', 'Romance']"
25992848,a wicked ghost ii: the fear,"['Asian Movies', 'Horror']","['Comedy', 'Coming of age', 'Teen']"
900626,dear jesse,"['LGBT', 'Non-fiction/Educational', 'Political']",[]
33210995,state's attorney,['Drama'],"['Drama', 'Romance', 'Western']"
