wikipedia_movie_ID,name,original_genres,predicted_genres
13202635,one: the movie,"['Non-fiction/Educational', 'War/combat']",[]
7825684,interview with the assassin,"['Comedy', 'Crime', 'Drama', 'Mystery/Suspense', 'Political', 'Thriller']","['Animation', 'Drama', 'Short Film', 'Thriller']"
5501976,switch,"['Comedy', 'Fantasy', 'Romance']","['Drama', 'Thriller', 'World cinema']"
25845778,tora-san's cherished mother,"['Asian Movies', 'Comedy', 'World cinema']",['Drama']
14184381,first love,"['Adult', 'Drama', 'Romance', 'World cinema']","['Drama', 'Thriller', 'World cinema']"
6117410,hello brother,"['Action/Adventure', 'Asian Movies', 'Comedy', 'Drama']",['Drama']
18133125,the taste of fish,['Drama'],['Drama']
442308,once upon a time in america,"['Adaptation', 'Crime', 'Drama', 'Historical', 'Other']","['Animation', 'Drama', 'Short Film', 'Thriller']"
26739668,rhythm in the clouds,"['Comedy', 'Music/Dance']",[]
24212606,the navy way,"['Action/Adventure', 'Drama', 'Old-fashioned/classical style', 'War/combat']",[]
2748709,brick,"['Crime', 'Drama', 'Indie', 'Mystery/Suspense', 'Teen', 'Thriller']","['Drama', 'Thriller', 'World cinema']"
884742,an affair to remember,"['Comedy', 'Drama', 'Romance']","['Drama', 'Thriller', 'World cinema']"
1048388,hot shots!,"['Action/Adventure', 'Comedy', 'War/combat']","['Drama', 'Thriller', 'World cinema']"
13160018,the nickel-hopper,"['Comedy', 'Indie', 'Old-fashioned/classical style', 'Short Film']",[]
93559,cruel intentions,"['Drama', 'Romance', 'Teen', 'Thriller']","['Drama', 'Thriller', 'World cinema']"
14299472,step lively,"['Comedy', 'Indie', 'Old-fashioned/classical style', 'Short Film']",['Short Film']
32632926,beach combers,"['Animation', 'Short Film']",['Short Film']
32589533,when the night,['Drama'],"['Animation', 'Drama', 'Short Film', 'Thriller']"
8367375,street scene,"['Drama', 'Old-fashioned/classical style']","['Animation', 'Drama', 'Short Film', 'Thriller']"
9842738,unveiled,"['Drama', 'LGBT', 'World cinema']",['Drama']
23910715,the admiral was a lady,"['Comedy', 'Old-fashioned/classical style', 'Romance']",['Drama']
36350679,the dancing years,"['Drama', 'Music/Dance', 'Romance']",['Drama']
2547388,trees lounge,"['Comedy', 'Drama', 'Indie']","['Animation', 'Drama', 'Short Film', 'Thriller']"
1367468,brainwashing 101,['Non-fiction/Educational'],[]
23143400,my year without sex,"['Adult', 'Comedy', 'Drama', 'Indie', 'World cinema']",['Drama']
8111774,deadline: sirf 24 ghante,"['Drama', 'World cinema']",['Drama']
7212423,trick or treat,['Horror'],"['Drama', 'Thriller', 'World cinema']"
15044108,barbie fairytopia: magic of the rainbow,"['Animation', ""Children's/Family"", 'Fantasy']",[]
30655401,the bawdy adventures of tom jones,['Comedy'],['Drama']
8291511,lost,"['Crime', 'Mystery/Suspense', 'Thriller']",['Drama']
19834120,children of the bride,['Drama'],['Drama']
7500507,the great mom swap,"['Comedy', 'Drama']",['Drama']
20720754,heap big hepcat,"['Animation', ""Children's/Family"", 'Comedy', 'Short Film']",['Short Film']
28255944,the counterfeit constable,"['Comedy', 'World cinema']",['Drama']
